GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",980,343,492,235,0,12,20,26,20,26,0,12,22,28,0,12,0,12,42,65,75,67,132,73,29,33,0,12,43,43,16,27,27,35,14,23,14,22,0,12,0,12,0,12,22,29,16,26,0,12,488,160,30,34,0,12,20,27,0,12,0,12,0,12,0,12,36,59,92,75,129,86,66,56,13,21,28,36,12,21,0,12,0,12,15,23,14,22,0,12,19,25,14,24,0,12,0,12
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",2847,297,1582,276,35,35,65,40,12,17,21,23,13,20,36,53,0,12,198,129,144,86,280,153,116,80,178,127,71,55,52,54,0,12,51,42,65,46,68,43,0,12,53,43,27,31,84,50,13,20,1265,201,10,19,11,16,0,12,0,12,0,12,38,59,40,38,69,60,96,55,76,58,78,58,123,86,46,36,32,36,107,53,40,37,61,50,22,33,76,53,53,43,108,58,51,64,128,93
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1078,276,655,180,41,51,0,12,0,12,9,16,0,12,0,12,0,12,11,19,38,63,66,88,25,28,66,64,122,100,52,49,67,57,0,12,44,50,21,25,21,23,32,28,24,28,16,26,0,12,423,148,45,44,38,50,20,33,0,12,0,12,0,12,0,12,0,12,0,12,81,67,21,25,30,34,37,40,63,55,0,12,0,12,29,34,0,12,17,22,0,12,18,24,24,27,0,12
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",2085,335,994,208,59,46,33,39,0,12,0,12,0,12,0,12,0,12,20,32,78,60,379,149,69,63,103,63,56,64,17,27,0,12,8,14,33,52,0,12,45,35,26,23,20,23,0,12,48,62,1091,232,0,12,0,12,0,12,0,12,33,51,0,12,0,12,55,80,234,123,163,96,89,73,102,62,83,88,11,18,69,88,9,15,19,23,20,23,41,32,59,44,13,21,47,55,44,69
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",1057,237,545,214,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,34,41,37,35,73,55,7,11,129,131,52,82,37,47,0,12,34,39,23,39,12,19,14,23,28,27,51,59,0,12,512,119,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,98,71,55,52,71,60,20,24,31,37,20,34,48,45,0,12,40,48,13,23,27,31,24,22,22,26,36,33,7,11
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1744,354,816,152,0,12,26,37,0,12,0,12,8,13,0,12,0,12,13,23,75,77,79,57,95,66,94,77,29,35,33,38,111,72,0,12,12,20,17,28,38,50,80,107,56,45,33,38,17,27,928,256,13,23,27,39,16,28,15,25,0,12,74,88,40,63,0,12,83,87,98,64,52,48,34,46,134,89,0,12,42,38,71,86,18,31,0,12,66,102,49,38,44,42,32,36,20,24
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",1484,433,652,259,36,36,39,42,0,12,0,12,15,27,15,27,0,12,37,43,165,165,36,43,47,70,119,91,11,18,47,34,0,12,1,14,12,25,25,32,0,12,0,12,26,29,0,12,21,38,832,315,78,81,54,56,16,25,0,12,0,12,0,12,0,12,312,281,35,36,55,79,51,35,26,30,30,33,0,12,20,31,0,12,44,43,0,12,0,12,0,12,24,29,41,38,46,44
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",1118,319,679,233,97,147,0,12,0,12,0,12,0,12,0,12,0,12,41,47,163,109,34,39,66,52,26,29,0,12,54,41,40,56,25,39,0,12,12,20,0,12,63,48,0,12,26,41,32,39,439,129,0,12,18,26,13,20,0,12,0,12,0,12,0,12,13,23,79,76,47,46,16,27,0,12,44,40,55,50,0,12,0,12,29,33,0,12,24,27,19,23,14,24,0,12,68,49
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",999,401,752,415,17,27,0,12,64,67,0,12,0,12,0,12,0,12,28,46,227,244,129,166,0,12,0,12,137,114,0,12,29,33,16,27,20,22,0,12,0,12,85,58,0,12,0,12,0,12,247,115,0,12,14,22,14,22,16,27,0,12,0,12,20,28,12,22,0,12,17,28,0,12,0,12,36,43,62,66,14,24,0,12,13,23,15,25,0,12,14,23,0,12,0,12,0,12
