GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",980,343,410,161,0,12,0,12,535,302,0,12,13,21,22,40,0,12,22,40
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",2847,297,1608,253,67,56,15,23,868,224,0,12,46,55,243,183,72,82,171,158
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1078,276,925,251,0,12,0,12,93,84,0,12,15,25,45,67,0,12,45,67
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",2085,335,1871,326,0,12,0,12,158,92,0,12,0,12,56,51,0,12,56,51
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",1057,237,833,202,21,34,0,12,108,92,0,12,0,12,95,71,26,41,69,57
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1744,354,987,222,0,12,0,12,673,314,0,12,74,88,10,14,0,12,10,14
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",1484,433,759,323,0,12,0,12,708,300,0,12,0,12,17,27,0,12,17,27
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",1118,319,911,309,0,12,0,12,176,132,0,12,0,12,31,33,0,12,31,33
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",999,401,597,392,0,12,0,12,242,194,0,12,60,76,100,85,0,12,100,85
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",1285,415,724,263,0,12,0,12,467,312,0,12,0,12,94,85,0,12,94,85
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",1740,436,1315,368,0,12,0,12,268,207,0,12,70,112,87,98,61,96,26,32
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",1241,360,514,210,0,12,0,12,534,320,0,12,75,99,118,126,118,126,0,12
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",832,237,495,179,16,29,0,12,164,121,20,36,20,36,117,104,0,12,117,104
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",1774,236,1157,193,27,29,0,12,488,145,0,12,13,20,89,61,0,12,89,61
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",1022,246,490,141,0,12,0,12,507,192,0,12,8,13,17,19,0,12,17,19
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",1346,411,411,171,36,43,0,12,736,330,0,12,25,39,138,159,95,150,43,49
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",1296,407,263,122,0,12,0,12,980,397,0,12,21,32,32,50,32,50,0,12
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",1172,248,629,227,151,226,0,12,358,220,0,12,34,42,0,12,0,12,0,12
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",1091,350,275,166,0,12,0,12,792,350,0,12,0,12,24,40,24,40,0,12
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",1889,435,195,148,0,12,0,12,1694,417,0,12,0,12,0,12,0,12,0,12
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",1159,336,53,49,0,12,0,12,1106,344,0,12,0,12,0,12,0,12,0,12
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",1130,325,655,241,0,12,0,12,442,216,0,12,7,12,26,33,0,12,26,33
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",1525,372,515,212,0,12,0,12,987,300,0,12,0,12,23,30,0,12,23,30
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",2124,506,1069,242,0,12,9,14,857,397,0,12,103,117,86,92,0,12,86,92
1500000US060750109001,060750109001,"Block Group 1, Census Tract 109, San Francisco County, California",942,233,750,204,13,20,0,12,179,159,0,12,0,12,0,12,0,12,0,12
1500000US060750109002,060750109002,"Block Group 2, Census Tract 109, San Francisco County, California",1849,388,972,210,31,42,0,12,790,294,0,12,45,74,11,20,0,12,11,20
1500000US060750109003,060750109003,"Block Group 3, Census Tract 109, San Francisco County, California",1949,289,1556,260,16,25,0,12,334,138,0,12,28,35,15,26,0,12,15,26
1500000US060750110001,060750110001,"Block Group 1, Census Tract 110, San Francisco County, California",751,333,469,260,26,42,0,12,248,229,0,12,8,13,0,12,0,12,0,12
1500000US060750110002,060750110002,"Block Group 2, Census Tract 110, San Francisco County, California",2399,472,1097,309,21,34,0,12,1042,292,0,12,101,139,138,143,0,12,138,143
1500000US060750110003,060750110003,"Block Group 3, Census Tract 110, San Francisco County, California",2153,522,1018,299,23,38,0,12,1012,461,0,12,64,103,36,40,22,31,14,25
1500000US060750111001,060750111001,"Block Group 1, Census Tract 111, San Francisco County, California",2087,418,905,241,22,29,0,12,896,315,0,12,48,76,216,208,121,177,95,104
1500000US060750111002,060750111002,"Block Group 2, Census Tract 111, San Francisco County, California",2046,339,1250,276,99,138,0,12,598,222,0,12,64,98,35,44,26,42,9,14
1500000US060750111003,060750111003,"Block Group 3, Census Tract 111, San Francisco County, California",945,322,784,326,50,77,0,12,72,60,0,12,24,27,15,24,0,12,15,24
1500000US060750112001,060750112001,"Block Group 1, Census Tract 112, San Francisco County, California",1332,228,660,213,16,26,0,12,645,193,0,12,0,12,11,18,0,12,11,18
1500000US060750112002,060750112002,"Block Group 2, Census Tract 112, San Francisco County, California",927,256,637,224,24,39,0,12,203,115,0,12,16,26,47,50,0,12,47,50
1500000US060750112003,060750112003,"Block Group 3, Census Tract 112, San Francisco County, California",819,342,389,202,1,2,1,2,293,200,52,54,8,13,75,66,55,58,20,31
1500000US060750113001,060750113001,"Block Group 1, Census Tract 113, San Francisco County, California",1478,276,254,156,0,12,6,10,1149,215,5,9,0,12,64,55,9,14,55,53
1500000US060750113002,060750113002,"Block Group 2, Census Tract 113, San Francisco County, California",1580,311,357,141,97,104,15,24,1095,303,0,12,0,12,16,19,0,12,16,19
1500000US060750117001,060750117001,"Block Group 1, Census Tract 117, San Francisco County, California",602,153,231,78,0,12,0,12,308,128,0,12,45,50,18,21,0,12,18,21
1500000US060750117002,060750117002,"Block Group 2, Census Tract 117, San Francisco County, California",945,336,308,105,114,100,0,12,382,304,0,12,61,69,80,74,0,12,80,74
1500000US060750118001,060750118001,"Block Group 1, Census Tract 118, San Francisco County, California",1740,229,130,88,2,3,14,20,1528,207,0,12,57,90,9,10,0,12,9,10
1500000US060750119011,060750119011,"Block Group 1, Census Tract 119.01, San Francisco County, California",1022,192,648,168,73,63,0,12,279,108,0,12,13,20,9,14,0,12,9,14
1500000US060750119012,060750119012,"Block Group 2, Census Tract 119.01, San Francisco County, California",1521,266,759,152,91,108,24,37,484,181,0,12,113,77,50,42,0,12,50,42
1500000US060750119021,060750119021,"Block Group 1, Census Tract 119.02, San Francisco County, California",1924,272,1066,217,24,26,0,12,655,191,0,12,114,111,65,52,18,22,47,40
1500000US060750119022,060750119022,"Block Group 2, Census Tract 119.02, San Francisco County, California",701,180,396,106,31,39,0,12,152,82,0,12,14,22,108,68,0,12,108,68
1500000US060750120001,060750120001,"Block Group 1, Census Tract 120, San Francisco County, California",1695,290,868,247,161,118,0,12,508,209,0,12,52,46,106,90,18,27,88,86
1500000US060750120002,060750120002,"Block Group 2, Census Tract 120, San Francisco County, California",1868,301,965,266,198,48,0,12,449,238,0,12,54,61,202,54,21,35,181,39
1500000US060750121001,060750121001,"Block Group 1, Census Tract 121, San Francisco County, California",2864,315,1852,373,71,59,30,33,670,224,0,12,88,63,153,102,0,12,153,102
1500000US060750121002,060750121002,"Block Group 2, Census Tract 121, San Francisco County, California",1012,210,515,179,47,44,0,12,334,158,0,12,27,33,89,58,18,28,71,52
1500000US060750122011,060750122011,"Block Group 1, Census Tract 122.01, San Francisco County, California",2815,402,1100,351,193,149,0,12,1049,399,0,12,280,254,193,148,62,85,131,125
1500000US060750122012,060750122012,"Block Group 2, Census Tract 122.01, San Francisco County, California",1761,527,583,206,145,105,0,12,596,381,0,12,365,338,72,68,45,73,27,31
1500000US060750122021,060750122021,"Block Group 1, Census Tract 122.02, San Francisco County, California",3079,514,1371,479,563,234,30,26,740,246,0,12,307,300,68,73,34,41,34,60
1500000US060750123011,060750123011,"Block Group 1, Census Tract 123.01, San Francisco County, California",1087,244,505,205,92,93,4,8,320,133,0,12,157,98,9,15,0,12,9,15
