GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Family households:,Margin of Error; Income in the past 12 months below poverty level: - Family households:,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Estimate; Income in the past 12 months below poverty level: - Family households: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over",Estimate; Income in the past 12 months below poverty level: - Nonfamily households:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Family households:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households:,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over",Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",568,119,56,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56,70,44,70,0,12,44,70,0,12,0,12,12,18,0,12,12,18,0,12,0,12,512,113,107,59,82,51,0,12,14,23,30,26,38,38,25,35,25,35,0,12,25,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,405,123,167,85,0,12,138,78,29,33,0,12,238,110,36,59,176,101,12,21,14,22
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",1592,124,269,88,39,37,11,17,0,12,0,12,0,12,11,17,28,32,0,12,0,12,0,12,0,12,0,12,28,32,0,12,28,32,0,12,0,12,230,76,84,50,0,12,0,12,40,30,44,41,146,78,10,17,13,21,24,28,99,70,1323,136,540,133,436,120,13,21,156,76,140,51,127,64,104,81,37,43,37,43,0,12,0,12,0,12,67,71,0,12,40,63,0,12,27,29,783,156,396,121,37,55,285,106,33,40,41,43,387,120,0,12,156,77,60,49,171,82
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",635,158,36,41,6,13,6,13,0,12,0,12,6,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,43,30,43,0,12,0,12,30,43,0,12,0,12,0,12,0,12,0,12,0,12,599,152,237,99,196,81,0,12,47,39,121,75,28,29,41,55,32,53,0,12,32,53,0,12,0,12,9,16,0,12,9,16,0,12,0,12,362,140,269,130,11,19,78,92,108,90,72,46,93,67,0,12,46,56,10,17,37,34
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",1274,175,40,36,16,26,0,12,0,12,0,12,0,12,0,12,16,26,0,12,0,12,0,12,0,12,0,12,16,26,0,12,16,26,0,12,0,12,24,26,12,19,0,12,0,12,0,12,12,19,12,19,0,12,0,12,0,12,12,19,1234,179,237,86,204,86,0,12,123,68,47,49,34,27,33,52,33,52,0,12,0,12,33,52,0,12,0,12,0,12,0,12,0,12,0,12,997,183,485,164,0,12,358,141,42,50,85,68,512,163,12,21,276,114,91,89,133,62
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",767,160,60,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,53,0,12,0,12,0,12,0,12,0,12,60,53,0,12,40,47,0,12,20,23,707,155,166,84,166,84,0,12,32,31,72,59,62,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,541,168,283,169,0,12,86,62,131,134,66,69,258,91,0,12,172,83,40,41,46,38
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",867,136,101,64,57,47,40,40,0,12,27,38,13,24,0,12,17,30,17,30,0,12,0,12,17,30,0,12,0,12,0,12,0,12,0,12,0,12,44,44,28,34,13,23,0,12,0,12,15,25,16,28,0,12,0,12,16,28,0,12,766,161,306,123,232,98,0,12,120,81,37,36,75,56,74,87,0,12,0,12,0,12,0,12,0,12,74,87,0,12,0,12,66,85,8,14,460,139,268,120,0,12,132,96,106,81,30,32,192,87,0,12,48,46,91,85,53,45
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",556,143,79,68,19,24,19,24,0,12,19,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,63,45,70,0,12,45,70,0,12,0,12,15,26,0,12,15,26,0,12,0,12,477,136,135,66,127,69,0,12,85,54,30,33,12,18,8,19,0,12,0,12,0,12,0,12,0,12,8,19,0,12,0,12,0,12,8,19,342,134,89,82,0,12,64,76,11,18,14,23,253,107,86,77,55,79,38,42,74,56
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",598,131,38,36,14,22,14,22,0,12,0,12,0,12,14,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,28,24,28,11,20,0,12,0,12,13,20,0,12,0,12,0,12,0,12,0,12,560,130,246,105,217,106,0,12,90,84,61,46,66,50,29,32,0,12,0,12,0,12,0,12,0,12,29,32,0,12,0,12,0,12,29,32,314,121,182,104,13,21,134,95,10,18,25,31,132,81,0,12,67,53,23,37,42,41
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",339,118,101,117,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,101,117,101,117,0,12,86,112,15,25,0,12,0,12,0,12,0,12,0,12,0,12,238,79,131,57,117,55,0,12,0,12,52,43,65,55,14,23,0,12,0,12,0,12,0,12,0,12,14,23,0,12,0,12,0,12,14,23,107,80,80,81,8,17,11,21,61,77,0,12,27,31,13,21,0,12,14,24,0,12
