GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",33,53,33,53,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",126,95,42,66,0,12,0,12,0,12,84,74,0,12,0,12
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",275,187,83,87,0,12,0,12,0,12,16,25,0,12,176,137
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",71,73,11,19,0,12,0,12,0,12,60,70,0,12,0,12
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",82,86,0,12,0,12,0,12,0,12,34,44,0,12,48,75
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",90,78,14,23,0,12,0,12,0,12,0,12,0,12,76,74
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",96,104,0,12,0,12,0,12,0,12,50,78,0,12,46,72
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",110,105,0,12,0,12,0,12,0,12,18,30,0,12,92,100
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",33,39,0,12,0,12,0,12,0,12,16,26,0,12,17,28
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",29,32,0,12,0,12,0,12,0,12,14,23,0,12,15,24
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",125,101,0,12,37,57,0,12,0,12,38,61,0,12,50,79
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",69,50,0,12,0,12,15,22,0,12,42,40,0,12,12,18
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",242,108,55,68,0,12,0,12,33,53,154,98,0,12,0,12
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",233,112,0,12,0,12,34,54,0,12,109,81,0,12,90,79
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",22,37,22,37,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",20,33,0,12,20,33,0,12,0,12,0,12,0,12,0,12
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",150,86,0,12,54,42,0,12,0,12,42,49,0,12,54,61
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",47,53,24,39,0,12,0,12,0,12,0,12,0,12,23,37
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",53,60,0,12,0,12,0,12,0,12,25,40,0,12,28,45
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",83,74,27,41,0,12,0,12,0,12,27,44,0,12,29,46
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",186,111,0,12,0,12,0,12,0,12,122,96,0,12,64,65
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",64,60,0,12,38,61,0,12,0,12,13,21,0,12,13,20
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",56,70,41,67,0,12,0,12,0,12,15,24,0,12,0,12
1500000US060750109001,060750109001,"Block Group 1, Census Tract 109, San Francisco County, California",52,83,0,12,0,12,52,83,0,12,0,12,0,12,0,12
1500000US060750109002,060750109002,"Block Group 2, Census Tract 109, San Francisco County, California",33,37,0,12,0,12,0,12,0,12,33,37,0,12,0,12
1500000US060750109003,060750109003,"Block Group 3, Census Tract 109, San Francisco County, California",57,66,0,12,0,12,0,12,0,12,0,12,0,12,57,66
1500000US060750110001,060750110001,"Block Group 1, Census Tract 110, San Francisco County, California",27,44,27,44,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750110002,060750110002,"Block Group 2, Census Tract 110, San Francisco County, California",51,60,0,12,0,12,0,12,33,56,0,12,0,12,18,21
1500000US060750110003,060750110003,"Block Group 3, Census Tract 110, San Francisco County, California",56,62,29,47,27,42,0,12,0,12,0,12,0,12,0,12
1500000US060750111001,060750111001,"Block Group 1, Census Tract 111, San Francisco County, California",92,98,0,12,0,12,0,12,0,12,0,12,0,12,92,98
1500000US060750111002,060750111002,"Block Group 2, Census Tract 111, San Francisco County, California",92,96,48,78,0,12,0,12,0,12,44,51,0,12,0,12
1500000US060750111003,060750111003,"Block Group 3, Census Tract 111, San Francisco County, California",72,85,0,12,23,39,0,12,0,12,49,78,0,12,0,12
1500000US060750112001,060750112001,"Block Group 1, Census Tract 112, San Francisco County, California",245,134,37,58,0,12,0,12,0,12,116,103,0,12,92,73
1500000US060750112002,060750112002,"Block Group 2, Census Tract 112, San Francisco County, California",185,107,8,12,0,12,0,12,0,12,149,104,0,12,28,36
1500000US060750112003,060750112003,"Block Group 3, Census Tract 112, San Francisco County, California",206,104,47,55,72,67,0,12,0,12,42,43,0,12,45,68
1500000US060750113001,060750113001,"Block Group 1, Census Tract 113, San Francisco County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750113002,060750113002,"Block Group 2, Census Tract 113, San Francisco County, California",99,74,55,62,9,13,0,12,10,16,0,12,0,12,25,41
1500000US060750117001,060750117001,"Block Group 1, Census Tract 117, San Francisco County, California",24,38,0,12,0,12,0,12,0,12,24,38,0,12,0,12
1500000US060750117002,060750117002,"Block Group 2, Census Tract 117, San Francisco County, California",285,113,134,76,0,12,0,12,0,12,53,62,0,12,98,78
1500000US060750118001,060750118001,"Block Group 1, Census Tract 118, San Francisco County, California",46,34,24,26,0,12,10,15,0,12,12,19,0,12,0,12
1500000US060750119011,060750119011,"Block Group 1, Census Tract 119.01, San Francisco County, California",148,104,0,12,27,43,14,21,0,12,107,95,0,12,0,12
1500000US060750119012,060750119012,"Block Group 2, Census Tract 119.01, San Francisco County, California",117,90,8,13,38,59,0,12,0,12,71,72,0,12,0,12
1500000US060750119021,060750119021,"Block Group 1, Census Tract 119.02, San Francisco County, California",226,116,20,33,21,34,0,12,0,12,101,90,0,12,84,79
1500000US060750119022,060750119022,"Block Group 2, Census Tract 119.02, San Francisco County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750120001,060750120001,"Block Group 1, Census Tract 120, San Francisco County, California",143,122,0,12,0,12,41,65,0,12,0,12,0,12,102,107
1500000US060750120002,060750120002,"Block Group 2, Census Tract 120, San Francisco County, California",53,87,0,12,0,12,0,12,0,12,0,12,0,12,53,87
1500000US060750121001,060750121001,"Block Group 1, Census Tract 121, San Francisco County, California",14,23,0,12,0,12,14,23,0,12,0,12,0,12,0,12
1500000US060750121002,060750121002,"Block Group 2, Census Tract 121, San Francisco County, California",23,37,0,12,0,12,0,12,0,12,23,37,0,12,0,12
1500000US060750122011,060750122011,"Block Group 1, Census Tract 122.01, San Francisco County, California",61,69,61,69,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750122012,060750122012,"Block Group 2, Census Tract 122.01, San Francisco County, California",228,157,136,118,0,12,0,12,0,12,0,12,0,12,92,104
1500000US060750122021,060750122021,"Block Group 1, Census Tract 122.02, San Francisco County, California",90,71,41,46,49,54,0,12,0,12,0,12,0,12,0,12
1500000US060750123011,060750123011,"Block Group 1, Census Tract 123.01, San Francisco County, California",228,106,46,51,0,12,0,12,0,12,79,64,0,12,103,70
1500000US060750123012,060750123012,"Block Group 2, Census Tract 123.01, San Francisco County, California",236,114,52,60,45,56,0,12,0,12,32,51,0,12,107,90
1500000US060750123021,060750123021,"Block Group 1, Census Tract 123.02, San Francisco County, California",177,112,122,94,0,12,0,12,0,12,21,34,0,12,34,56
1500000US060750123022,060750123022,"Block Group 2, Census Tract 123.02, San Francisco County, California",291,113,207,104,19,30,0,12,0,12,27,43,0,12,38,44
1500000US060750124011,060750124011,"Block Group 1, Census Tract 124.01, San Francisco County, California",183,118,65,74,0,12,0,12,0,12,0,12,0,12,118,96
1500000US060750124012,060750124012,"Block Group 2, Census Tract 124.01, San Francisco County, California",337,169,97,90,28,36,0,12,0,12,68,107,0,12,144,118
1500000US060750124021,060750124021,"Block Group 1, Census Tract 124.02, San Francisco County, California",115,104,38,59,0,12,0,12,0,12,36,59,0,12,41,66
1500000US060750124022,060750124022,"Block Group 2, Census Tract 124.02, San Francisco County, California",34,57,0,12,0,12,0,12,0,12,0,12,0,12,34,57
1500000US060750124023,060750124023,"Block Group 3, Census Tract 124.02, San Francisco County, California",160,116,103,98,42,67,0,12,0,12,0,12,0,12,15,23
1500000US060750125011,060750125011,"Block Group 1, Census Tract 125.01, San Francisco County, California",78,85,78,85,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750125012,060750125012,"Block Group 2, Census Tract 125.01, San Francisco County, California",379,161,203,114,0,12,0,12,0,12,35,57,0,12,141,113
1500000US060750125021,060750125021,"Block Group 1, Census Tract 125.02, San Francisco County, California",34,57,34,57,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750125022,060750125022,"Block Group 2, Census Tract 125.02, San Francisco County, California",34,55,34,55,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060750126011,060750126011,"Block Group 1, Census Tract 126.01, San Francisco County, California",140,94,0,12,50,56,0,12,0,12,0,12,0,12,90,81
