BGFIPS10,Drunk,DrunkP1k,Bars,BarPSqMi,RetailPSqMi,Pop,PopDens1k,pMale,pHHPov,VacantHU,SqMiles
060750101001,27.0,27.5510204082,2.0,9.62205323192,91.4095057032,980,4.71480608364,50.2040816327,9.85915492958,5.49084858569,0.207855844464
060750101002,8.0,2.80997541272,3.0,35.6228999534,94.9943998757,2847,33.8061320558,55.5672637864,16.8969849246,7.33410942957,0.0842154907075
060750102001,12.0,11.1317254174,1.0,9.78718322433,58.723099346,1078,10.5505835158,60.7606679035,5.66929133858,30.2197802198,0.102174443564
060750102002,0.0,0.0,0.0,0.0,20.6167396022,2085,42.9859020707,47.6738609113,3.13971742543,5.27881040892,0.0485042746473
060750102003,2.0,1.89214758751,0.0,0.0,19.7592719802,1057,20.8855504831,51.5610217597,7.82268578879,9.65842167256,0.0506091520478
060750103001,3.0,1.72018348624,1.0,19.8214783509,99.1073917546,1744,34.568658244,46.7889908257,11.6493656286,9.40438871473,0.0504503237496
060750103002,0.0,0.0,0.0,0.0,0.0,1484,61.8298437871,43.935309973,14.2086330935,14.7239263804,0.0240013545095
060750103003,3.0,2.68336314848,0.0,0.0,0.0,1118,37.1893085601,60.7334525939,6.35451505017,15.5367231638,0.0300624035048
060750104001,5.0,5.00500500501,0.0,0.0,199.054014931,999,49.713740229,75.2752752753,29.7935103245,0.0,0.0200950480772
060750104002,1.0,0.778210116732,0.0,0.0,0.0,1285,36.4818221818,46.0700389105,6.62358642973,5.06134969325,0.0352230213063
060750104003,0.0,0.0,0.0,0.0,19.7286637636,1740,34.3278749487,50.0,3.1031031031,2.82101167315,0.0506876700815
060750104004,4.0,3.22320709106,0.0,0.0,0.0,1241,52.7974867,47.5423045931,2.68562401264,16.4907651715,0.0235049067213
060750105001,8.0,9.61538461538,0.0,0.0,77.5459760027,832,5.86529563948,45.3125,0.0,14.6496815287,0.141851332165
060750105002,18.0,10.1465614431,3.0,24.0694731,8.02315769998,1774,14.2330817598,56.5388951522,12.4075595727,16.5867032214,0.124639205335
060750106001,3.0,2.93542074364,2.0,116.7569507,116.7569507,1022,59.6628018077,52.446183953,21.9764011799,25.5762897914,0.0171296011759
060750106002,87.0,64.6359583952,7.0,240.429575939,412.164987324,1346,46.2311727449,61.367013373,25.3644314869,3.10734463277,0.0291145545329
060750106003,33.0,25.462962963,9.0,344.941031585,613.228500595,1296,49.6715085482,46.9907407407,39.6226415094,4.02414486922,0.0260914161434
060750107001,5.0,4.2662116041,1.0,50.9966432367,356.976502657,1172,59.7680658734,58.5324232082,10.4513064133,26.2697022767,0.0196091337886
060750107002,8.0,7.33272227314,2.0,104.069943621,416.279774485,1091,56.7701542454,37.5802016499,35.0282485876,8.13148788927,0.0192178445611
060750107003,8.0,4.23504499735,4.0,190.099639861,570.298919584,1889,89.7745549245,49.655902594,28.3893395133,5.78602620087,0.0210415969379
060750107004,7.0,6.0396893874,0.0,0.0,1269.49526946,1159,105.096072664,40.2070750647,39.4435351882,11.9596541787,0.011028004859
060750108001,1.0,0.884955752212,0.0,0.0,0.0,1130,32.0046184261,56.7256637168,10.2866779089,23.8767650834,0.03530740423
060750108002,0.0,0.0,0.0,0.0,171.084156918,1525,65.2258348251,43.1475409836,27.0725388601,7.65550239234,0.0233803063478
060750108003,0.0,0.0,0.0,0.0,0.0,2124,74.861732669,36.9114877589,17.5276752768,4.91228070175,0.028372306174
060750109001,0.0,0.0,0.0,0.0,128.792005044,942,40.4406895838,41.2951167728,11.1111111111,8.28025477707,0.0232933713469
060750109002,4.0,2.16333153056,0.0,0.0,140.660358847,1849,52.0162007018,38.9940508383,4.59652706844,3.26086956522,0.0355466176894
060750109003,3.0,1.5392508979,7.0,190.68571763,572.057152891,1949,53.0923519517,45.1513596716,20.2076677316,4.35446906035,0.0367096187747
060750110001,4.0,5.32623169108,2.0,82.0337951332,287.118282966,751,30.8036900725,43.27563249,8.3885209713,5.625,0.0243801959516
060750110002,4.0,1.66736140058,0.0,0.0,29.3591545428,2399,70.4326117482,48.8536890371,10.4594330401,4.74860335196,0.0340609263302
060750110003,7.0,3.25127728751,2.0,58.6266989013,146.566747253,2153,63.1116413672,51.9739897817,9.13838120104,4.64730290456,0.0341141499945
060750111001,4.0,1.91662673694,4.0,115.845376648,289.613441621,2087,60.4423252664,51.8447532343,18.0016515277,7.06062931696,0.0345287841062
060750111002,9.0,4.39882697947,5.0,136.532117676,354.983505958,2046,55.868942553,48.2893450635,7.8813559322,7.23270440252,0.0366214198176
060750111003,4.0,4.2328042328,2.0,84.2314398504,168.462879701,945,39.7993553293,64.9735449735,20.5128205128,10.3448275862,0.0237441031941
060750112001,0.0,0.0,0.0,0.0,0.0,1332,69.8719043795,46.6966966967,21.9875776398,23.3333333333,0.019063456361
060750112002,0.0,0.0,0.0,0.0,0.0,927,45.6032171253,59.331175836,4.45969125214,24.0885416667,0.0203275132422
060750112003,1.0,1.221001221,0.0,0.0,0.0,819,27.7867581482,54.822954823,15.015015015,38.2189239332,0.0294744710999
060750113001,1.0,0.676589986468,0.0,0.0,203.535911357,1478,75.2065192465,51.0148849797,18.0277349769,0.0,0.019652551598
060750113002,1.0,0.632911392405,0.0,0.0,51.8563273697,1580,81.9329972441,50.3797468354,27.4914089347,10.1851851852,0.0192840498108
060750117001,12.0,19.9335548173,3.0,29.0714135184,261.642721665,602,5.83366364602,52.1594684385,8.93854748603,6.28272251309,0.103194156628
060750117002,65.0,68.7830687831,10.0,87.8577130426,623.789762603,945,8.30255388253,58.0952380952,39.6363636364,34.1317365269,0.113820399527
060750118001,3.0,1.72413793103,0.0,0.0,590.097965376,1740,78.9823430581,48.9655172414,39.2128279883,6.28415300546,0.0220302403377
060750119011,0.0,0.0,0.0,0.0,82.8321343441,1022,84.6544412996,48.7279843444,1.68970814132,18.5231539424,0.0120726093553
060750119012,1.0,0.657462195924,0.0,0.0,169.806429764,1521,129.137789836,54.5036160421,19.2216981132,12.1243523316,0.011778117017
060750119021,0.0,0.0,1.0,57.3469936591,114.693987318,1924,110.3356158,61.1746361746,21.1818879509,14.7809025507,0.0174377057313
060750119022,1.0,1.42653352354,0.0,0.0,0.0,701,38.3360876544,38.8017118402,5.78313253012,0.0,0.0182856426644
060750120001,14.0,8.25958702065,6.0,248.06077072,289.404232507,1695,70.0771677284,54.3362831858,18.1245074862,10.1274787535,0.0241876213743
060750120002,11.0,5.8886509636,5.0,206.011693908,123.607016345,1868,76.965968844,59.6359743041,18.4271395528,3.92592592593,0.0242704669097
060750121001,3.0,1.04748603352,1.0,41.8193129463,376.373816516,2864,119.770512278,57.9958100559,11.3043478261,0.805060379528,0.0239123966787
060750121002,15.0,14.8221343874,3.0,126.727648944,591.395695072,1012,42.7494602437,44.4664031621,21.6606498195,3.98613518198,0.0236728135099
060750122011,11.0,3.90763765542,8.0,337.464406467,421.830508084,2815,118.745288026,58.3658969805,25.2493765586,3.66366366366,0.023706203815
060750122012,11.0,6.24645088018,2.0,168.297210794,420.743026985,1761,148.185694104,69.2220329358,34.3984962406,17.6470588235,0.0118837382424
060750122021,19.0,6.17083468659,5.0,140.188478987,336.45234957,3079,86.3280653604,63.6245534264,26.9453376206,5.47112462006,0.0356662689839
060750123011,76.0,69.9172033119,1.0,33.8753280469,474.254592657,1087,36.822481587,60.3495860166,50.2638522427,23.1237322515,0.0295200093299
060750123012,3.0,4.26742532006,1.0,170.809961685,0.0,703,120.079403064,68.7055476529,46.3829787234,33.4277620397,0.00585445948314
060750123021,9.0,6.19834710744,4.0,340.266870263,85.0667175657,1452,123.516873905,54.0633608815,20.8465608466,15.7754010695,0.0117554788596
060750123022,24.0,22.5140712946,6.0,253.984942153,211.654118461,1066,45.1246580559,51.4071294559,35.1961950059,25.7067137809,0.0236234477097
060750124011,12.0,7.18132854578,2.0,111.902189321,55.9510946605,1671,93.4942791777,64.1532016756,32.9341317365,17.9764243615,0.017872751303
060750124012,36.0,12.2365737593,2.0,111.977878409,223.955756818,2942,164.71945914,57.2739632903,33.418204965,17.6624737945,0.0178606705933
060750124021,43.0,57.7956989247,0.0,0.0,102.252621808,744,19.0189876562,49.0591397849,17.8756476684,22.9540918164,0.0391188013499
060750124022,12.0,12.2075279756,2.0,26.1474802674,65.3687006686,983,12.8514865514,52.5940996948,9.87460815047,5.05952380952,0.0764892058257
060750124023,14.0,8.40336134454,1.0,41.1151175051,205.575587526,1666,68.4977857635,61.7647058824,45.4110898662,13.2669983416,0.0243219540811
060750125011,66.0,28.4605433376,1.0,34.0170576092,204.102345655,2319,78.8855565957,60.1121172919,35.4182955434,5.74797347089,0.0293970163878
060750125012,181.0,147.394136808,4.0,179.041152679,358.082305358,1228,54.9656338724,65.6351791531,63.8949671772,29.3116782676,0.0223412323935
060750125021,16.0,8.68621064061,2.0,167.831625572,167.831625572,1842,154.572927152,50.0542888165,65.7070279424,2.79835390947,0.0119167051691
060750125022,42.0,18.4372256365,0.0,0.0,339.292834088,2278,193.227269013,65.3643546971,37.037037037,3.29138431752,0.0117892262911
060750126011,5.0,2.00080032013,2.0,30.3244624215,212.27123695,2499,37.8904157956,51.8607442977,2.33918128655,8.33829660512,0.065953353837
060750126021,0.0,0.0,0.0,0.0,0.0,2007,21.5464228663,46.5371200797,4.03377110694,3.61663652803,0.0931477123814
060750126022,1.0,0.91407678245,0.0,0.0,13.6467278557,1094,7.46476013707,45.521023766,8.29420970266,13.2971506106,0.14655527839
060750127001,0.0,0.0,0.0,0.0,0.0,1885,17.7445698463,47.0557029178,7.62620837809,8.54616895874,0.106229681324
060750127002,0.0,0.0,0.0,0.0,0.0,1191,33.1888641558,50.2938706969,14.1721854305,7.47549019608,0.0358855305927
060750127003,1.0,1.46627565982,0.0,0.0,69.6247524377,682,23.7420405813,48.9736070381,0.0,9.85626283368,0.0287254163207
060750128001,5.0,2.251238181,6.0,78.0164770448,494.104354617,2221,28.8790992528,45.7901846015,4.15486307838,7.43006993007,0.0769068308039
060750128002,0.0,0.0,0.0,0.0,0.0,1084,23.2156533461,41.1439114391,0.0,14.0311804009,0.046692633795
060750128003,3.0,3.2154340836,1.0,25.3729155096,126.864577548,933,23.6729301705,34.6195069668,2.00803212851,10.9123434705,0.0394121045971
060750128004,3.0,4.4776119403,3.0,104.120026443,312.360079328,670,23.2534725722,67.9104477612,12.017167382,9.16179337232,0.0288129008654
060750129011,2.0,1.80831826401,1.0,28.4247093704,85.2741281113,1106,31.4377285637,48.3725135624,2.75650842266,14.3044619423,0.0351806587349
060750129012,1.0,0.674763832659,0.0,0.0,0.0,1482,42.0101923341,39.5411605938,4.54002389486,10.6723585912,0.0352771534159
060750129021,2.0,1.61943319838,0.0,0.0,28.260060575,1235,34.9011748101,47.3684210526,12.3216601816,8.10488676996,0.0353856283268
060750129022,0.0,0.0,0.0,0.0,337.910530581,1235,41.7319505268,48.2591093117,3.77867746289,8.96805896806,0.0295936323227
060750129023,10.0,10.2669404517,1.0,13.9648411565,125.683570408,974,13.6017552864,46.5092402464,0.0,2.49554367201,0.0716084049073
060750130001,2.0,1.99004975124,0.0,0.0,57.4605041847,1005,28.8739033528,55.92039801,8.56697819315,0.0,0.0348065167262
060750130002,2.0,1.79694519317,0.0,0.0,365.722582761,1113,31.3114795856,33.423180593,12.5252525253,11.7647058824,0.0355460685579
060750130003,8.0,6.28436763551,1.0,28.1007398291,224.805918632,1273,35.7722418024,52.7101335428,12.1118012422,0.0,0.0355862516817
060750130004,7.0,6.05012964564,2.0,56.2561687515,393.793181261,1157,32.5441936228,57.9083837511,4.70262793914,14.8409893993,0.0355516567229
060750131011,0.0,0.0,0.0,0.0,58.1179460017,1718,49.9233156154,47.9627473807,1.50801131008,12.4587458746,0.0344127784547
060750131012,0.0,0.0,1.0,30.5109844953,91.5329534859,2073,63.2492708588,47.853352629,2.74809160305,3.81791483113,0.032775081386
060750131021,2.0,1.67224080268,0.0,0.0,0.0,1196,20.9392283782,40.3846153846,10.9684947491,9.69441517387,0.0571176730297
060750131022,0.0,0.0,0.0,0.0,0.0,1496,42.7772815612,53.743315508,4.08432147563,4.4080604534,0.0349718342401
060750132001,2.0,1.01471334348,0.0,0.0,19.1375846308,1971,37.7201793073,56.4180618975,2.23380491437,10.5263157895,0.0522531980546
060750132002,0.0,0.0,0.0,0.0,0.0,831,20.2713894739,50.9025270758,0.0,11.8811881188,0.0409937365699
060750132003,2.0,1.05652403592,0.0,0.0,0.0,1893,16.140076026,49.1811938722,2.35640648012,4.90196078431,0.11728569289
060750133001,0.0,0.0,0.0,0.0,0.0,820,18.8595826306,47.8048780488,11.8644067797,9.23076923077,0.0434792230591
060750133002,2.0,1.73611111111,0.0,0.0,114.597205963,1152,26.4031962538,42.5347222222,16.1172161172,9.15141430948,0.0436310812117
060750133003,1.0,0.950570342205,1.0,29.2977515326,175.786509196,1052,30.8212346123,48.4790874525,7.20164609053,0.0,0.0341323121293
060750133004,2.0,2.95420974889,0.0,0.0,16.2545600594,677,11.0043371602,46.3810930576,0.0,3.64238410596,0.061521197519
060750133005,0.0,0.0,0.0,0.0,72.3391434381,781,18.8322903417,44.4302176697,3.125,16.6666666667,0.0414713232341
060750134001,0.0,0.0,0.0,0.0,43.8669554188,697,15.2876339634,25.9684361549,9.97624703088,13.5523613963,0.0455924050554
060750134002,1.0,0.546448087432,1.0,21.6285301397,194.656771257,1830,39.5802101556,50.3278688525,6.21650589496,0.0,0.0462352269683
060750134003,0.0,0.0,0.0,0.0,0.0,1441,31.822884168,53.9902845246,0.0,9.32311621967,0.045281879304
060750135001,0.0,0.0,0.0,0.0,103.050952472,1289,33.208169434,46.1598138092,5.09554140127,7.21040189125,0.0388157499185
060750135002,1.0,0.767459708365,0.0,0.0,249.050381326,1303,24.9625112976,44.8963929394,13.003452244,13.7896825397,0.0521982738222
060750151001,2.0,1.48588410104,1.0,28.4880243037,427.320364556,1346,38.3448807128,48.2912332838,10.9979633401,6.2082139446,0.0351024693513
060750151002,0.0,0.0,0.0,0.0,216.212285155,760,23.4744766739,54.3421052632,1.74081237911,32.5945241199,0.0323755886257
060750152001,0.0,0.0,1.0,28.0256149493,28.0256149493,1405,39.3759890037,45.7651245552,17.3994387278,6.47419072616,0.0356816434469
060750152002,3.0,2.47729149463,1.0,23.8640060837,47.7280121673,1211,28.8993113673,39.6366639141,8.95104895105,10.4010025063,0.0419041126831
060750152003,0.0,0.0,1.0,33.5117942327,435.653325025,1249,41.8562309966,58.4467574059,11.84,0.0,0.0298402405152
060750153001,0.0,0.0,1.0,23.58711831,117.93559155,946,22.3134139213,54.0169133192,4.87804878049,4.85232067511,0.0423960225601
060750153002,1.0,0.892857142857,0.0,0.0,147.066288724,1120,23.5306061959,42.5,5.43259557344,9.47176684882,0.0475975837883
060750154001,1.0,1.20336943442,0.0,0.0,0.0,831,17.7304142505,36.4620938628,0.0,4.6875,0.0468686172958
060750154002,2.0,1.46627565982,0.0,0.0,59.1127764198,1364,40.3149135183,46.7008797654,19.9706314244,2.57510729614,0.0338336332876
060750154003,0.0,0.0,2.0,26.5576224335,53.1152448669,1640,21.7772503954,47.6829268293,7.73881499395,0.0,0.0753079461466
060750154004,0.0,0.0,1.0,22.1534219432,110.767109716,707,15.6624693139,51.4851485149,0.0,4.66666666667,0.0451397532427
